PlayerID,LastName,FirstName,Bats,Pitches,Team
atkij101,Atkins,James,L,R,BOS
battm101,Batts,Matt,R,R,BOS
combm101,Combs,Merl,L,R,BOS
dimad101,DiMaggio,Dom,R,R,BOS
dobsj101,Dobson,Joe,R,R,BOS
doerb101,Doerr,Bobby,R,R,BOS
dropw101,Dropo,Walt,R,R,BOS
ferrd101,Ferriss,Dave,L,R,BOS
gillb102,Gillespie,Bob,R,R,BOS
goodb101,Goodman,Billy,L,R,BOS
hatff101,Hatfield,Fred,L,R,BOS
johne105,Johnson,Earl,L,L,BOS
keltk101,Keltner,Ken,R,R,BOS
kinde101,Kinder,Ellis,R,R,BOS
littd102,Littlefield,Dick,L,L,BOS
marcp101,Marchildon,Phil,R,R,BOS
mastw101,Masterson,Walt,R,R,BOS
maxwc101,Maxwell,Charlie,L,L,BOS
mcdem102,McDermott,Mickey,L,L,BOS
mcdoj104,McDonald,Jim,R,R,BOS
muelg101,Mueller,Gordie,R,R,BOS
nixow101,Nixon,Willard,L,R,BOS
obrit103,O'Brien,Tommy,R,R,BOS
papaa101,Papai,Al,R,R,BOS
parnm101,Parnell,Mel,L,L,BOS
peskj101,Pesky,Johnny,L,R,BOS
pierj102,Piersall,Jim,R,R,BOS
quinf104,Quinn,Frank,R,R,BOS
rosab101,Rosar,Buddy,R,R,BOS
schac101,Schanz,Charley,R,R,BOS
scheb102,Scherbarth,Bob,R,R,BOS
stepv101,Stephens,Vern,R,R,BOS
stobc101,Stobbs,Chuck,L,L,BOS
stril101,Stringer,Lou,R,R,BOS
suchj101,Suchecki,Jim,R,R,BOS
taylh101,Taylor,Harry,R,R,BOS
tebbb101,Tebbetts,Birdie,R,R,BOS
vollc101,Vollmer,Clyde,R,R,BOS
willt103,Williams,Ted,L,R,BOS
wrigt101,Wright,Tom,L,R,BOS
zaria101,Zarilla,Al,L,R,BOS
abrac101,Abrams,Cal,L,L,BRO
bankd101,Bankhead,Dan,R,R,BRO
bantj101,Banta,Jack,L,R,BRO
barnr103,Barney,Rex,R,R,BRO
belaw101,Belardi,Wayne,L,L,BRO
branr103,Branca,Ralph,R,R,BRO
browt103,Brown,Tommy,R,R,BRO
campr102,Campanella,Roy,R,R,BRO
cox-b101,Cox,Billy,R,R,BRO
edwab101,Edwards,Bruce,R,R,BRO
eppea101,Epperly,Al,L,R,BRO
erskc101,Erskine,Carl,R,R,BRO
furic101,Furillo,Carl,R,R,BRO
hattj101,Hatten,Joe,R,L,BRO
hermg101,Hermanski,Gene,L,R,BRO
hodgg101,Hodges,Gil,R,R,BRO
jorgs101,Jorgensen,Spider,L,R,BRO
labic101,Labine,Clem,R,R,BRO
landj101,Landrum,Joe,R,R,BRO
lembs101,Lembo,Steve,R,R,BRO
loesb101,Loes,Billy,R,R,BRO
mallm101,Mallette,Mal,L,L,BRO
mcglp101,McGlothin,Pat,L,R,BRO
mikse101,Miksis,Eddie,R,R,BRO
morgb102,Morgan,Bobby,R,R,BRO
newcd101,Newcombe,Don,L,R,BRO
palie101,Palica,Erv,R,R,BRO
podbb101,Podbielan,Bud,R,R,BRO
ramsw101,Ramsdell,Willie,R,R,BRO
reesp101,Reese,Pee Wee,R,R,BRO
robij103,Robinson,Jackie,R,R,BRO
roe-p101,Roe,Preacher,R,L,BRO
romaj102,Romano,Jim,R,R,BRO
russj102,Russell,Jim,B,R,BRO
shubg101,Shuba,George,L,R,BRO
snidd101,Snider,Duke,L,R,BRO
vancc101,Van Cuyk,Chris,L,L,BRO
addib101,Addis,Bob,L,R,BSN
antoj103,Antonelli,Johnny,L,L,BSN
bickv101,Bickford,Vern,R,R,BSN
burrp101,Burris,Paul,R,R,BSN
chipb101,Chipman,Bob,L,L,BSN
coled103,Cole,Dave,R,R,BSN
coopw102,Cooper,Walker,R,R,BSN
crand102,Crandall,Del,R,R,BSN
donod101,Donovan,Dick,L,R,BSN
ellib103,Elliott,Bob,R,R,BSN
gords101,Gordon,Sid,R,R,BSN
haefm101,Haefner,Mickey,L,L,BSN
hallb103,Hall,Bob,R,R,BSN
hartr101,Hartsfield,Roy,R,R,BSN
hogub101,Hogue,Bobby,R,R,BSN
holmt101,Holmes,Tommy,L,L,BSN
jeths101,Jethroe,Sam,B,R,BSN
johne101,Johnson,Ernie,R,R,BSN
kerrb101,Kerr,Buddy,R,R,BSN
lindw101,Linden,Walt,R,R,BSN
manvd101,Manville,Dick,R,R,BSN
marsw101,Marshall,Willard,L,R,BSN
maucg101,Mauch,Gene,R,R,BSN
olmol101,Olmo,Luis,R,R,BSN
reisp101,Reiser,Pete,L,R,BSN
roy-n101,Roy,Normie,R,R,BSN
ryanc102,Ryan,Connie,R,R,BSN
sainj101,Sain,Johnny,R,R,BSN
sists101,Sisti,Sibby,R,R,BSN
spahw101,Spahn,Warren,L,L,BSN
surkm101,Surkont,Max,R,R,BSN
torge101,Torgeson,Earl,L,L,BSN
verbe101,Verban,Emil,R,R,BSN
wallm101,Wall,Murray,R,R,BSN
waltb102,Walters,Bucky,R,R,BSN
adamh101,Adams,Herb,L,L,CHA
aloml101,Aloma,Luis,R,R,CHA
appll101,Appling,Luke,R,R,CHA
bakef103,Baker,Floyd,L,R,CHA
brunj101,Bruner,Jack,L,L,CHA
busbj101,Busby,Jim,R,R,CHA
cainb101,Cain,Bob,L,L,CHA
carrc105,Carrasquel,Chico,R,R,CHA
connb103,Connelly,Bill,L,R,CHA
cuelc101,Cuellar,Charlie,R,R,CHA
erauj101,Erautt,Joe,R,R,CHA
fox-n101,Fox,Nellie,L,R,CHA
goldg101,Goldsberry,Gordon,L,L,CHA
gumpr101,Gumpert,Randy,R,R,CHA
haefm101,Haefner,Mickey,L,L,CHA
holck101,Holcombe,Ken,R,R,CHA
judsh101,Judson,Howie,R,R,CHA
kerig101,Keriazakos,Gus,R,R,CHA
kirrj101,Kirrene,Joe,R,R,CHA
kozaa101,Kozar,Al,R,R,CHA
kresc101,Kress,Chuck,L,L,CHA
kretl101,Kretlow,Lou,R,R,CHA
kuzab101,Kuzava,Bob,B,L,CHA
majeh101,Majeski,Hank,R,R,CHA
